Wall time,Step,Value
1634061234.4026248,0,0.390625
1634061298.504851,100,8.203125
1634061376.0238092,200,12.6953125
1634061453.9255953,300,17.96875
1634061532.6549141,400,28.125
1634061620.5715702,500,29.4921875
1634061696.8477354,600,28.125
1634061772.1178787,700,30.078125
1634061845.886896,800,36.71875
1634061918.9958782,900,33.59375
1634061997.8751135,1000,41.2109375
1634062070.291175,1100,35.7421875
1634062141.6157045,1200,36.1328125
1634062213.4892693,1300,42.578125
1634062312.3458722,1400,50.0
1634062386.8733373,1500,49.0234375
1634062460.2922537,1600,45.1171875
1634062534.3674662,1700,50.5859375
1634062617.7886245,1800,49.0234375
1634062691.309246,1900,48.4375
1634062764.8787966,2000,46.2890625
1634062837.668158,2100,53.3203125
1634062910.4159985,2200,48.4375
1634062988.6141527,2300,47.4609375
1634063058.9291499,2400,45.1171875
1634063130.9429367,2500,49.21875
1634063202.1540592,2600,54.8828125
1634063301.1518884,2700,47.265625
1634063378.151891,2800,46.484375
1634063455.3054006,2900,49.8046875
1634063531.7255263,3000,50.1953125
1634063608.0979555,3100,50.390625
1634063690.9118738,3200,54.4921875
1634063765.8037162,3300,46.09375
1634063840.9006896,3400,49.8046875
1634063915.9687388,3500,53.515625
1634063998.690604,3600,51.5625
1634064071.9635742,3700,51.5625
1634064143.733706,3800,50.78125
1634064215.6951838,3900,58.59375
1634064312.9388864,4000,57.6171875
1634064387.1671202,4100,49.609375
1634064461.5891812,4200,52.9296875
1634064536.1476197,4300,49.8046875
1634064610.4231706,4400,54.296875
1634064692.8279812,4500,52.1484375
1634064767.3696024,4600,50.78125
1634064841.498876,4700,49.8046875
1634064917.5312588,4800,60.546875
1634064998.863238,4900,54.296875
1634065069.9360597,5000,59.5703125
1634065140.8511462,5100,50.9765625
1634065214.150795,5200,55.078125
1634065286.9884546,5300,55.2734375
1634065388.0632887,5400,52.734375
1634065462.6981363,5500,57.2265625
1634065536.8558736,5600,58.3984375
1634065610.8563514,5700,60.3515625
1634065693.0531762,5800,55.078125
1634065766.0661693,5900,55.46875
1634065840.17412,6000,58.0078125
1634065913.8604326,6100,55.46875
1634065987.8826997,6200,53.90625
1634066067.4532862,6300,58.984375
1634066139.091146,6400,58.0078125
1634066210.7497478,6500,56.0546875
1634066281.8734632,6600,60.3515625
1634066379.4698822,6700,61.9140625
1634066454.0692945,6800,55.859375
1634066531.7962606,6900,56.8359375
1634066607.3502085,7000,60.7421875
1634066690.7737286,7100,56.0546875
1634066766.8431947,7200,56.640625
1634066841.8725102,7300,55.6640625
1634066916.624453,7400,60.9375
1634066991.4819267,7500,52.734375
1634067072.6348677,7600,65.625
1634067144.4742687,7700,58.3984375
1634067216.7475245,7800,57.2265625
1634067291.7265716,7900,51.5625
1634067393.2250414,8000,58.984375
1634067469.2988806,8100,60.15625
1634067544.2032838,8200,53.90625
1634067618.1127045,8300,57.421875
1634067692.2594922,8400,55.859375
1634067775.5684512,8500,61.5234375
1634067848.3833435,8600,52.734375
1634067921.949481,8700,55.078125
1634067994.3943052,8800,61.5234375
1634068075.0012524,8900,58.203125
1634068146.7122808,9000,55.859375
1634068217.5588686,9100,56.25
1634068288.5355833,9200,57.6171875
